Date_HPSC,Hospitals,TotalLabs,NonHospitals,Positive,PRate,Test24,Test7,Pos7,PosR7,FID,Hospitals24h,TotalLabs24h,NonHospitals24h,Positive24h,PosR24h,ConfirmedCovidCases,TotalConfirmedCovidCases,Pos24h-ConfCovCases
2020/04/22 11:00:00+00,39158,117182,78024,18988,16.2,5363,23267,4645,20,36,2007,5363,3356,1260,23.5,629,16671,631
2020/04/23 11:00:00+00,42165,122053,79888,19556,16,4871,24494,4488,18.3,37,3007,4871,1864,568,11.7,936,17607,-368
2020/04/24 11:00:00+00,44164,127633,83469,20160,15.8,5580,25763,4182,16.2,38,1999,5580,3581,604,10.8,577,18184,27
2020/04/25 11:00:00+00,46318,133265,86947,20546,15.4,5632,29142,4131,14.2,39,2154,5632,3478,386,6.9,377,18561,9
2020/04/26 11:00:00+00,50433,141863,91430,21639,15.3,8598,35427,4850,13.7,40,4115,8598,4483,1093,12.7,701,19262,392
2020/04/27 11:00:00+00,52058,146963,94905,21996,15,5100,38901,4975,12.8,41,1625,5100,3475,357,7,386,19648,-29
2020/04/28 11:00:00+00,54406,153269,98863,22363,14.6,6306,41450,4635,11.2,42,2348,6306,3958,367,5.8,229,19877,138
2020/04/29 11:00:00+00,57233,161428,104195,22783,14.1,8159,44246,3795,8.6,43,2827,8159,5332,420,5.1,376,20253,44
2020/04/30 11:00:00+00,59972,169646,109674,23083,13.6,8218,47593,3527,7.4,44,2739,8218,5479,300,3.7,359,20612,-59
2020/05/01 11:00:00+00,62993,177097,114104,23345,13.2,7451,49464,3185,6.4,45,3021,7451,4430,262,3.5,221,20833,41
2020/05/02 11:00:00+00,65813,189173,123360,23792,12.6,12076,55908,3246,5.8,46,2820,12076,9256,447,3.7,343,21176,104
2020/05/03 11:00:00+00,67646,198972,131326,24116,12.1,9799,57109,2477,4.3,47,1833,9799,7966,324,3.3,330,21506,-6
2020/05/04 11:00:00+00,69144,207589,138445,24443,11.8,8617,60626,2447,4,48,1498,8617,7119,327,3.8,266,21772,61
2020/05/05 11:00:00+00,70592,215101,144509,24647,11.5,7512,61832,2284,3.7,49,1448,7512,6064,204,2.7,211,21983,-7
2020/05/06 11:00:00+00,72979,222916,149937,24926,11.2,7815,61488,2143,3.5,50,2387,7815,5428,279,3.6,265,22248,14
2020/05/07 11:00:00+00,75251,228619,153368,25127,11,5703,58973,2044,3.5,51,2272,5703,3431,201,3.5,137,22385,64
2020/05/08 11:00:00+00,77323,233592,156269,25290,10.8,4973,56495,1945,3.4,52,2072,4973,2901,163,3.3,156,22541,7
2020/05/09 11:00:00+00,79521,241249,161728,25487,10.6,7657,52076,1695,3.3,53,2198,7657,5459,197,2.6,219,22760,-22
2020/05/10 11:00:00+00,80836,247766,166930,25812,10.4,6517,48794,1696,3.5,54,1315,6517,5202,325,5,236,22996,89
2020/05/11 11:00:00+00,81958,253140,171182,25977,10.3,5374,45551,1534,3.4,55,1122,5374,4252,165,3.1,139,23135,26
2020/05/12 11:00:00+00,83620,259278,175658,26113,10.1,6138,44177,1466,3.3,56,1662,6138,4476,136,2.2,107,23242,29
2020/05/13 11:00:00+00,85746,263952,178206,26324,10,4674,41036,1398,3.4,57,2126,4674,2548,211,4.5,159,23401,52
2020/05/14 11:00:00+00,87819,270162,182343,26543,9.8,6210,41543,1416,3.4,58,2073,6210,4137,219,3.5,426,23827,-207
2020/05/15 11:00:00+00,89824,275861,186037,26651,9.7,5699,42269,1361,3.2,59,2005,5699,3694,108,1.9,129,23956,-21
2020/05/16 11:00:00+00,92023,282195,190172,26763,9.5,6334,40946,1276,3.1,60,2199,6334,4135,112,1.8,92,24048,20
2020/05/17 11:00:00+00,93560,288652,195092,26889,9.3,6457,40886,1077,2.6,61,1537,6457,4920,126,2,64,24112,62
2020/05/18 11:00:00+00,94678,292616,197938,26970,9.2,3964,39476,993,2.5,62,1118,3964,2846,81,2,88,24200,-7
2020/05/19 11:00:00+00,96468,295894,199426,27029,9.1,3278,36616,916,2.5,63,1790,3278,1488,59,1.8,51,24251,8
2020/05/20 11:00:00+00,98919,300658,201739,27123,9,4764,36706,799,2.2,64,2451,4764,2313,94,2,64,24315,30
2020/05/21 11:00:00+00,101247,305932,204685,27249,8.9,5274,35770,706,2,65,2328,5274,2946,126,2.4,76,24391,50
2020/05/22 11:00:00+00,103646,311305,207659,27361,8.8,5373,35444,710,2,66,2399,5373,2974,112,2.1,115,24506,-3
2020/05/23 11:00:00+00,105733,315581,209848,27439,8.7,4276,33386,676,2,67,2087,4276,2189,78,1.8,76,24582,2
2020/05/24 11:00:00+00,107213,319090,211877,27496,8.6,3509,30438,607,2,68,1480,3509,2029,57,1.6,57,24639,0
2020/05/25 11:00:00+00,108516,322619,214103,27594,8.6,3529,30003,624,2.1,69,1303,3529,2226,98,2.8,59,24698,39
2020/05/26 11:00:00+00,110419,326134,215715,27661,8.5,3515,30240,632,2.1,70,1903,3515,1612,67,1.9,37,24735,30
2020/05/27 11:00:00+00,112792,329571,216779,27728,8.4,3437,28913,605,2.1,71,2373,3437,1064,67,1.9,73,24803,-6
2020/05/28 11:00:00+00,115121,333382,218261,27772,8.3,3811,27450,523,1.9,72,2329,3811,1482,44,1.2,46,24841,-2
2020/05/29 11:00:00+00,117491,337746,220255,27844,8.2,4364,26441,483,1.8,73,2370,4364,1994,72,1.6,39,24876,33
2020/05/30 11:00:00+00,119314,341169,221855,27914,8.2,3423,25588,475,1.9,74,1823,3423,1600,70,2,59,24929,11
2020/05/31 11:00:00+00,120546,344643,224097,27984,8.1,3474,25553,488,1.9,75,1232,3474,2242,70,2,66,24990,4
2020/06/01 11:00:00+00,121639,346928,225289,28026,8.1,2285,24309,432,1.8,76,1093,2285,1192,42,1.8,77,25062,-35
2020/06/02 11:00:00+00,122914,348755,225841,28050,8,1827,22621,389,1.7,77,1275,1827,552,24,1.3,10,25066,14
2020/06/03 11:00:00+00,124901,351241,226340,28090,8,2486,21670,362,1.7,78,1987,2486,499,40,1.6,47,25111,-7
2020/06/04 11:00:00+00,127081,354340,227259,28123,7.9,3099,20958,351,1.7,79,2180,3099,919,33,1.1,38,25142,-5
2020/06/05 11:00:00+00,129063,357574,228511,28159,7.9,3234,19828,315,1.6,80,1982,3234,1252,36,1.1,28,25163,8
2020/06/06 11:00:00+00,130852,360680,229828,28186,7.8,3106,19511,272,1.4,81,1789,3106,1317,27,0.9,24,25183,3
2020/06/07 11:00:00+00,132261,363508,231247,28207,7.8,2828,18865,223,1.2,82,1409,2828,1419,21,0.7,25,25201,-4
